Dataset,Language Pair,Model,Original,Code-Switched,Delta
ArguAna,zh-en,BGE-M3,0.37884616043888913,0.37186979112156854,-0.0069763693173205965
ArguAna,zh-en,BM25,0.27854070014922166,0.2541979267633285,-0.02434277338589319
ArguAna,zh-en,Qwen3-Embedding-0.6B,0.44035512586945275,0.44068454684198577,0.00032942097253302327
ClimateFEVERHardNegatives,zh-en,BGE-M3,0.09437296067205338,0.08795454656254566,-0.00641841410950772
ClimateFEVERHardNegatives,zh-en,BM25,0.13857913944545824,0.10929856458972674,-0.029280574855731503
ClimateFEVERHardNegatives,zh-en,Qwen3-Embedding-0.6B,0.2147483654444881,0.18507949910995566,-0.029668866334532445
