signal,winner_accuracy,majority_baseline,improvement_over_majority,balanced_accuracy,BM25_precision,BM25_recall,BM25_F1,MCC,actual_BM25_count,actual_Qwen_count,POSTHOC_AUROC_BM25,POSTHOC_Spearman_G_vs_Qwen_minus_BM25,diagnostic_status
margin,0.5216666666666666,0.8483333333333334,-0.32666666666666677,0.5466115416999504,0.17549668874172186,0.5824175824175825,0.2697201017811705,0.06687925815822109,91,509,0.5329130594356527,0.034891340371051016,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
dispersion,0.49166666666666664,0.8483333333333334,-0.35666666666666674,0.5018566894794793,0.1525974025974026,0.5164835164835165,0.2355889724310777,0.0026649071104406295,91,509,0.5087653014961463,0.03501875895146053,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
