category,count,percentage,analysis_status
beneficial_BM25_switches,8,4.0,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
harmful_BM25_switches,60,30.0,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
correct_Qwen_keeps,112,56.0,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
missed_BM25_opportunities,20,10.0,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
